unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
10830969,JA132288,2017-01-27 04:50:00.000000 UTC,001XX N WABASH AVE,0810,THEFT,OVER $500,CTA PLATFORM,false,false,111,1,42,32,06,1176791.0,1901351.0,2017,2017-02-14 03:49:42.000000 UTC,41.884653752,-87.626251847,"(41.884653752, -87.626251847)"
8851075,HV524252,2012-10-18 03:46:00.000000 UTC,001XX N STATE ST,0810,THEFT,OVER $500,RESTAURANT,false,false,111,1,42,32,06,1176352.0,1900918.0,2012,2018-02-10 03:50:01.000000 UTC,41.883475491,-87.627876969,"(41.883475491, -87.627876969)"
8078420,HT311217,2011-05-23 09:15:00.000000 UTC,004XX W JACKSON BLVD,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,2,28,06,1173380.0,1898918.0,2011,2018-02-10 03:50:01.000000 UTC,41.878053886,-87.638849697,"(41.878053886, -87.638849697)"
8057392,HT289285,2011-05-10 08:30:00.000000 UTC,0000X S RIVERSIDE PLZ,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,2,28,06,1173399.0,1900180.0,2011,2018-02-10 03:50:01.000000 UTC,41.881516473,-87.638742433,"(41.881516473, -87.638742433)"
11792225,JC389824,2019-08-04 07:55:00.000000 UTC,001XX N STATE ST,0810,THEFT,OVER $500,DEPARTMENT STORE,true,false,111,1,42,32,06,1176352.0,1900927.0,2019,2019-08-15 03:43:06.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
11610549,JC169991,2019-02-12 08:46:00.000000 UTC,001XX N STATE ST,0810,THEFT,OVER $500,DEPARTMENT STORE,true,false,111,1,42,32,06,1176352.0,1900927.0,2019,2019-03-06 04:12:29.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
11735379,JC320798,2019-06-18 05:45:00.000000 UTC,0000X E RANDOLPH ST,0810,THEFT,OVER $500,STREET,false,false,111,1,42,32,06,1177157.0,1901298.0,2019,2019-06-30 03:41:21.000000 UTC,41.884500034,-87.624909466,"(41.884500034, -87.624909466)"
11688351,JC263157,2019-05-14 05:55:00.000000 UTC,001XX N STATE ST,0810,THEFT,OVER $500,DEPARTMENT STORE,false,false,111,1,42,32,06,1176352.0,1900927.0,2019,2019-05-24 03:40:43.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
11922636,JC548187,2019-12-15 05:02:00.000000 UTC,0000X W WASHINGTON ST,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,42,32,06,1175800.0,1900817.0,2019,2019-12-22 03:41:13.000000 UTC,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
2161266,HH412663,2002-06-01 01:45:00.000000 UTC,001XX N JEFFERSON ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,42,28,06,1172312.0,1900947.0,2002,2018-02-28 03:56:25.000000 UTC,41.883645243,-87.642711157,"(41.883645243, -87.642711157)"
2028286,HH239429,2002-03-08 03:00:00.000000 UTC,001XX N WACKER DR,0810,THEFT,OVER $500,OTHER,false,false,111,1,,,06,1173911.0,1901340.0,2002,2018-02-28 03:56:25.000000 UTC,41.884688197,-87.636827836,"(41.884688197, -87.636827836)"
2229047,HH500494,2002-07-02 05:10:00.000000 UTC,005XX W MADISON ST,0810,THEFT,OVER $500,STREET,false,false,111,1,42,28,06,1172618.0,1900295.0,2002,2018-02-28 03:56:25.000000 UTC,41.88184935,-87.641606807,"(41.88184935, -87.641606807)"
1441730,G165980,2001-03-23 08:00:00.000000 UTC,002XX S WACKER DR,0810,THEFT,OVER $500,STREET,false,false,111,1,,,06,1173852.0,1899369.0,2001,2015-08-17 03:03:40.000000 UTC,41.879280965,-87.637103208,"(41.879280965, -87.637103208)"
1335455,G032482,2001-01-15 10:00:00.000000 UTC,005XX W LAKE ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,,,06,1172547.0,1901658.0,2001,2015-08-17 03:03:40.000000 UTC,41.885591079,-87.641827186,"(41.885591079, -87.641827186)"
1321262,G013431,2001-01-07 05:00:00.000000 UTC,005XX W MADISON ST,0810,THEFT,OVER $500,RESTAURANT,false,false,111,1,,,06,1172543.0,1900253.0,2001,2015-08-17 03:03:40.000000 UTC,41.881735758,-87.641883445,"(41.881735758, -87.641883445)"
2999034,HJ703155,2003-10-18 12:00:00.000000 UTC,007XX W MONROE ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,2,28,06,1171735.0,1899804.0,2003,2018-02-10 03:50:01.000000 UTC,41.880521497,-87.644863603,"(41.880521497, -87.644863603)"
5487983,HN307629,2007-04-06 05:00:00.000000 UTC,005XX W JACKSON BLVD,0810,THEFT,OVER $500,STREET,false,false,111,1,2,28,06,1172624.0,1898900.0,2007,2018-02-28 03:56:25.000000 UTC,41.878021246,-87.64162606,"(41.878021246, -87.64162606)"
5549776,HN360219,2007-05-23 12:00:00.000000 UTC,0000X N WACKER DR,0810,THEFT,OVER $500,STREET,false,false,111,1,42,32,06,1173863.0,1900534.0,2007,2018-02-28 03:56:25.000000 UTC,41.882477553,-87.637028112,"(41.882477553, -87.637028112)"
10852058,JA156371,2017-02-16 06:50:00.000000 UTC,0000X E LAKE ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,111,1,42,32,06,1176991.0,1901746.0,2017,2018-02-10 03:50:01.000000 UTC,41.885733129,-87.625505463,"(41.885733129, -87.625505463)"
7363175,HS165727,2010-02-14 12:05:00.000000 UTC,002XX S CANAL ST,0810,THEFT,OVER $500,TAXICAB,false,false,111,1,2,28,06,1173177.0,1899236.0,2010,2018-02-10 03:50:01.000000 UTC,41.878931004,-87.639585621,"(41.878931004, -87.639585621)"
